zone_table_id,event_type,text_id,left,z_min,right,z_max
20,10228,12128,656,1408,716,1480
20,10228,12128,656,1716,748,1772
20,10202,12102,104,1752,276,1944
20,10229,12129,76,1608,296,1712
20,10229,12129,64,1576,228,1652
20,10222,12122,84,1428,292,1532
20,10222,12122,56,1136,204,1464
20,10222,12122,188,1384,252,1452
20,10223,12123,248,1140,408,1308
20,10224,12124,440,1056,580,1344
20,10224,12124,452,1336,504,1432
20,10224,12124,500,1336,540,1376
20,10224,12124,564,1228,620,1320
20,10224,12124,576,1188,608,1236
20,10224,12124,580,1168,596,1192
20,10224,12124,620,1252,640,1296
20,10221,12121,32,1096,440,1508
20,10221,12121,260,1016,688,1400
20,10221,12121,388,1396,584,1468
20,10221,12121,576,1380,644,1444
20,10221,12121,308,1460,436,1592
20,10220,12120,16,548,444,992
20,10220,12120,164,984,184,1068
20,10220,12120,176,984,232,1020
20,10220,12120,180,1016,200,1052
20,10232,12132,176,356,376,508
20,10220,12120,164,512,436,580
20,10220,12120,32,984,168,1088
20,10220,12120,432,608,472,992
20,10220,12120,452,656,516,992
20,10231,12131,612,696,652,752
20,10218,12118,896,452,940,512
20,10205,12105,1032,1764,1220,1964
20,10234,12134,1724,204,1820,296
20,10234,12134,1716,204,1728,288
20,10234,12134,1708,204,1720,280
20,10234,12134,1732,284,1816,304
20,10234,12134,1736,300,1832,316
20,10215,12115,1312,152,1884,716
20,10217,12117,444,284,552,524
20,10217,12117,536,244,588,524
20,10262,12162,1448,168,1548,264
20,10264,12164,1792,420,1888,468
210,12108,12208,740,320,948,488
210,12109,12209,448,256,664,472
210,12110,12210,384,828,576,952
210,12110,12210,296,624,612,852
210,12111,12211,0,0,320,484
210,12111,12211,0,492,276,920
210,12111,12211,180,0,328,464
210,12111,12211,296,4,412,272
210,12112,12212,340,496,436,588
210,12102,12202,672,504,948,776
